,"Total, HM (€)","Total, H (€)","Total, M (€)","Primário
CAE: A, HM (€)","Primário
CAE: A, H (€)","Primário
CAE: A, M (€)","Secundário
CAE: B - F, HM (€)","Secundário
CAE: B - F, H (€)","Secundário
CAE: B - F, M (€)","Terciário
CAE: G - U, HM (€)","Terciário
CAE: G - U, H (€)","Terciário
CAE: G - U, M (€)"
Aljustrel,1151.99,1273.93,917.48,931.56,951.64,829.76,1362.8,1379.78,1236.21,954.49,1145.84,854
Almodôvar,877.41,965.3,818.22,806.65,817.1,775.3,723.32,735.65,699.37,921.37,1116.21,833.96
Alvito,1016.84,1102.03,926.44,1017.58,1034.8,934.37,1031.28,1045.55,933.73,1010.97,1227.47,925.37
Barrancos,809.87,795.01,827.86,703.82,702.31,710.09,839.03,851.54,816.45,813.72,751.24,847.12
Beja,1059.58,1108.9,999.03,910.22,921.21,863.43,1290.05,1272.92,1342.89,1045.61,1133.12,976.92
Castro Verde,1831.86,2030.52,1228.92,773.82,775.78,765.4,2323.74,2312.57,2441.34,977.57,1110.28,883.25
Cuba,909.28,982.96,825.7,974.84,993.54,854.98,779.9,778.85,783.76,907.53,1143.05,826.01
Ferreira do Alentejo,965.27,1004.54,905.84,960.51,970.13,936.17,975.86,989.56,898.43,968.67,1128,886.74
Mértola,831.58,827.77,835.49,836.07,830.94,857.77,708.59,714.23,687.96,858.8,885.07,844.77
Moura,904.18,934.96,867,753.76,768.3,674.32,996.43,1024.04,932.49,917.26,991.83,870.26
Ourique,839.09,840.28,838.02,712.2,717.6,683.52,831.83,866.69,790.88,860.68,866.99,856.5
Serpa,853.44,887.91,815.62,805.42,826.47,743.16,856.82,896.88,778.93,875.82,943.64,836.36
Vidigueira,936.55,1042.91,839.57,940.03,959.75,895.67,983.05,1143.18,840.96,913.97,1097.85,821.58
Lezíria do Tejo,1016,1083.29,931.24,897.03,928.19,831.35,1093.11,1145.19,976.72,995.51,1071.24,926.99
Almeirim,929.99,991.98,852.52,940.58,1013.2,832.03,985.88,989.06,976.5,895.6,986.44,825.43
Alpiarça,851.79,871.4,819.62,759.83,743.67,843.91,1016.42,1056.32,933.02,827.29,955.2,768.79
Azambuja,1018.95,1043.04,981.05,1015.48,1071.84,821.96,1137.93,1216.01,1003.91,1002.33,1016.27,981.16
Benavente,1109.76,1223.62,950.87,981.42,1028.49,886.42,1211.35,1288.68,1044.71,1056.52,1199.58,914.95
Cartaxo,1008.04,1101.02,902.64,879.59,929.97,804.01,1155.51,1187.44,1066.54,935.65,1036.02,867.21
Chamusca,948.66,987.96,892.32,890.51,930.05,783.46,996.15,988.46,1019.35,918.17,1037.94,855.45
Coruche,1001.79,1076.85,904.86,939.58,977.19,853.92,1141.98,1167.91,1082.3,946.11,1054.37,861.26
Golegã,925.02,1034.56,835.46,806.33,859.6,722.61,1041,1033.94,1056.93,902.83,1109.63,808.28
Rio Maior,1014.05,1107.43,895.85,873.37,903.73,823.9,1068.43,1136.65,945.28,974.39,1103.53,867.2
Salvaterra de Magos,942.87,1023.64,842.08,874.46,931.99,778.92,967.16,959.8,993.19,944.99,1089.4,825.21
Santarém,1041.57,1103.48,977.17,865.32,876.16,845.24,1071.25,1154.35,890.03,1044.04,1097.79,1005.24
Alto Alentejo,968.23,1065.27,867.02,880.5,902.96,804.26,1078.41,1117.46,977.61,938.73,1085.58,850.75
Alter do Chão,844.96,931.39,791.29,841.44,858.18,791.21,993.24,1124.31,680.67,820.38,930.17,798.21
Arronches,842.43,843.8,841.48,853.68,858.27,819.21,719.19,741.31,663.88,854.26,864.97,850.36
Avis,914.36,999.23,825.75,849.35,862.75,807.84,983.8,1065.39,887.21,849.62,993.97,769.42
Campo Maior,1235.31,1336.27,1105.44,973.43,975.35,967.92,1208.88,1275.73,1100.75,1299.86,1488.84,1119.67
Castelo de Vide,854.76,905.37,818.58,765.17,801.83,649.07,930.9,938.12,896.5,840.42,898.73,817.4
Crato,801.13,833.05,783.11,766.97,803.29,641.84,758.92,768.73,741.76,815.3,884.09,793.3
Elvas,885.19,935.83,822.86,861.49,887.02,760.38,952.2,983.1,815.83,877.22,940.78,829.2
Fronteira,911.33,1000.44,806.06,982.54,1008.39,899.99,800.86,795.07,823.49,897.44,1093.98,785.5
Gavião,821.56,1078.97,699.36,1089.17,1149.29,891.67,925.28,973.14,777.73,760.01,1146.58,686.58
Marvão,786.53,848.3,741.07,944.59,917.69,989.42,808.85,797.12,863.59,765.45,863.29,720.2
Monforte,979.9,1073.02,880.03,956.78,962.28,939.61,820.66,851.94,767.86,1011.62,1209.37,879.44
Nisa,821.85,913.28,766.05,687.04,707.54,618.7,887.42,972.25,663.76,816.61,921.17,778.89
Ponte de Sor,990.94,1133.75,848.02,828.17,875.57,710.97,1039.69,1094.82,870.96,992.03,1230.92,852.44
Portalegre,1003.03,1090.27,897.74,885.05,912.63,763.72,1209.06,1210.09,1204.35,909.77,991.18,855.57
Sousel,854.94,930.83,774.72,851.41,885.61,722.07,846.67,894.75,778.35,862.4,1039.75,782.13
Alentejo Central,1020.7,1106.8,918.42,901.73,930.52,820.98,1111.36,1151.34,1008.14,995.23,1120.32,904.16
Alandroal,837.73,858.55,819.64,823.74,862.65,731.42,835.95,841.49,831.94,851.86,870.01,844.57
Arraiolos,954.98,1064.08,845.28,1127.8,1186.08,991.6,928.83,977.66,850.71,877.34,1002.77,809.26
Borba,931.7,991.63,866.18,878.74,866.91,904.68,1006.43,1049.35,917.85,880.88,953.02,840.15
Estremoz,970.69,1069.14,862.87,891.99,937.31,773.61,1009.15,1040.61,941.6,971.29,1111.56,856.68
Évora,1098.82,1189.49,986.63,939.59,979.09,791.81,1196.91,1225.62,1114.63,1064.88,1186.76,964.18
Montemor-o-Novo,956.66,1026.7,866.74,867.27,899.91,789.62,1050.01,1074.51,931.78,942.03,1055.75,870.6
Mora,916.68,1027.4,831.36,815.8,855,722.15,1110.15,1212.67,896.39,879.2,998.45,834.23
Mourão,853.48,887.94,805.72,883.59,917.96,777.02,919.53,881.41,1195.88,825.95,874.47,787.26
Portel,943.24,1026.81,870.6,1036.79,1049.46,993.97,831.28,857.5,786.34,945.6,1112.75,870.45
Redondo,895.79,906.97,877.93,830.95,820.22,858.42,991.93,981.12,1021.47,874.87,916.6,837.42
Reguengos de Monsaraz,934.67,1002.63,864.76,814.76,828.08,766.99,1049.84,1118.13,934.3,894.42,967.69,848.27
Vendas Novas,1014.6,1127.45,894.97,773.66,770.32,784.85,1115.94,1207.25,972.9,954.88,1100.4,856.17
Viana do Alentejo,891.02,956.77,815.45,870.1,885.01,812.07,829.17,846.27,788.3,923.03,1098.08,820.79
Vila Viçosa,1041.16,1120.54,897.42,845.32,878.19,783.68,1144.99,1159.15,1048.16,942.88,1056.46,867.52
Algarve,999.05,1058.36,935.74,883.3,896,851.41,981.57,991.19,942.68,1006.03,1085.49,937
Albufeira,975.69,1034.76,915.59,983.69,905.82,1088.31,1017.44,1034.43,950.13,972.23,1036.32,913.11
Alcoutim,819.25,873.23,782.26,818.26,806.55,882.68,702.44,727.76,658.57,841.2,968.19,790.24
Aljezur,836.81,868.31,807.32,1143.06,1139.66,1147.32,799.8,814.47,725.7,827.36,868.34,797.87
Castro Marim,850.29,888,813.03,733.33,702.39,793.02,844.47,849.85,813.52,857.06,914.47,813.61
Faro,1138.08,1220,1053.83,759.33,762.93,752.71,1050.51,1072.25,975.5,1168.3,1287.14,1067.48
Lagoa,987.02,1041.56,923.8,1140.27,1174.44,894.25,924.05,931.32,890.02,992.86,1063.38,925.63
Lagos,944.17,984.98,903.31,1026.46,1051.09,948.09,946.53,949.34,935.28,941.96,994.95,900.74
Loulé,1029.22,1094.43,953.84,1001.66,1043.67,850.43,1050.77,1054.22,1033.56,1026.24,1105.96,950.36
Monchique,868.8,919.58,826.3,722.88,720.43,739.62,974.83,999.94,890.82,858.43,926.49,822.73
Olhão,913.42,950.5,872.19,905.41,950.32,822.46,903.57,910.33,883.87,918.19,975.56,875.06
Portimão,1013.31,1083.44,942.8,907.36,938.3,793.3,982.04,1001.82,904.85,1017.63,1101.4,944.86
São Brás de Alportel,933.87,955.46,906.5,661.68,662.15,651.17,915.72,938.26,827.02,967.05,1032.55,920.66
Silves,935.73,971.89,889.9,841.61,840.75,843.66,959.19,957.42,966.08,941.19,998.73,886.07
Tavira,885.84,916.78,855.5,812.25,804.49,836.16,938.83,916.67,1064.95,885.06,952.29,845.15
Vila do Bispo,960.22,990.99,926.32,1055.1,1070.19,868.98,828.37,848.69,696.3,961.82,994.89,928.64
Vila Real de Santo António,912.2,988.66,833.17,1114.01,1146.61,1023.6,825.06,849.63,721.66,909.68,1002.21,831.92
R. A. Açores,1065.39,1147.66,961.04,926.45,924.62,940.45,1034.35,1042.56,998.56,1080.59,1222.12,957.06
Santa Maria,1916.96,2323.24,1334.26,926.18,926.18,//,771.09,760.44,817.74,2180.63,2880.13,1378.87
Vila do Porto,1916.96,2323.24,1334.26,926.18,926.18,//,771.09,760.44,817.74,2180.63,2880.13,1378.87
São Miguel,1071.78,1153.01,964.48,956.28,948.9,1013.44,1064.5,1062.52,1073.25,1079.39,1220.25,951.67
Lagoa (R.A.A.),937.3,954.02,903.08,1098.89,1115.23,905.51,970.34,949.87,1116.18,900.17,937.03,863.59
Nordeste,842.97,821.48,872.69,733.46,733.46,//,758.21,761.15,731.48,878.46,875.29,881
Ponta Delgada,1147.35,1269.63,1003.9,952.07,915.24,1180.12,1150.99,1140.64,1192.83,1152.99,1333.06,988.23
Povoação,895.12,1007.11,788.59,2033.79,2134.12,…,885.34,915.43,730.63,841.93,917.06,792.82
Ribeira Grande,975.19,1016.87,901.75,837.72,851.81,736.62,1059.49,1083.48,966.2,918.54,953.91,884.06
Vila Franca do Campo,826.43,815.84,840.99,754.59,762.25,609,755.57,752.29,777.06,862.45,880.73,849.06
Terceira,1018.14,1060.37,965.67,780.5,791.61,710.9,1004.44,1017.38,935.94,1030.27,1100.74,970.45
Angra do Heroísmo,1006.02,1020.72,989.04,756.71,765.9,694.21,993.18,996.03,976.59,1018.05,1051.28,992.22
Vila da Praia da Vitória,1047.07,1145.28,901.4,840.36,858.84,744.26,1027.05,1062.26,870.91,1060.97,1206.42,907.14
Graciosa,934.22,987.25,865.54,752.75,733.16,850.72,919.15,958.5,740.99,950.61,1040.35,885.94
Santa Cruz da Graciosa,934.22,987.25,865.54,752.75,733.16,850.72,919.15,958.5,740.99,950.61,1040.35,885.94
São Jorge,926.18,971.48,878.49,870.94,897.13,…,907.16,948.04,823.88,936.34,991.72,894.67
Calheta (R.A.A.),864.56,907.4,827.8,683.58,683.58,//,837.22,894.53,772.83,887.85,928.78,860.2
Velas,960.8,1002.18,911.91,978,1039.5,…,967.79,978.96,924.85,957.91,1017.29,911.03
Pico,929.93,985.88,865.54,1081.27,1081.27,//,958.19,967.82,922.63,914.1,989.25,857.97
Lajes do Pico,851.32,899.43,821.37,951.44,951.44,//,864.92,838.56,907.1,842.85,933.39,806.8
Madalena,917.45,951.96,874.86,1140.96,1140.96,//,872.21,874.59,862.04,921.49,978.25,876.33
São Roque do Pico,1022,1098.66,898.09,…,…,//,1173.28,1188.32,1087.78,957.74,1038.53,872.49
Faial,1090.11,1208.85,966.61,1058.4,1041.91,1124.35,1038.89,1078.87,863.16,1102.18,1268.28,973.5
Horta,1090.11,1208.85,966.61,1058.4,1041.91,1124.35,1038.89,1078.87,863.16,1102.18,1268.28,973.5
Flores,1051.59,1210.38,855.97,791.33,…,…,1027.05,1067.78,790.8,1060.78,1289.06,862.38
Lajes das Flores,963.11,1098.37,850.74,…,//,…,836.52,876.46,696.73,989.44,1176.04,865.03
Santa Cruz das Flores,1082.28,1240.47,858.37,…,…,//,1067.88,1104.48,825.01,1088.54,1324.94,861.17
Corvo,1444.71,1639.06,1042.13,…,…,//,1756.01,1829.27,1140.62,1087.17,1196.34,1020.71
Corvo,1444.71,1639.06,1042.13,…,…,//,1756.01,1829.27,1140.62,1087.17,1196.34,1020.71
R. A. Madeira,1096.41,1172.19,1006.97,843.66,863.63,783.18,1148.93,1170.23,1036.79,1086.88,1178.5,1006.02
Calheta (R.A.M.),1141.91,1249.46,941.92,1120.29,1108,…,1381.39,1370.28,1493.08,900.2,966.88,859.9
Câmara de Lobos,950.94,983.03,892.55,743.33,738.84,750.69,1056.22,1055.3,1061.55,887.16,911.42,863.56
Funchal,1136.03,1216.36,1049.4,857.91,872.55,810.93,1234.02,1263.39,1090,1122.04,1205.49,1047.76
Machico,1039.98,1126.46,919.86,1238.29,1365.56,633.75,1053.58,1064.77,989.74,1029.33,1189.5,910.87
Ponta do Sol,834.46,865.09,793.47,690.19,696.03,685,863.13,852.55,946.62,829.88,879.47,786.29
Porto Moniz,788.81,894.49,735.69,658,658,//,1117.15,1247.71,856.02,751.58,807.43,729.05
Ribeira Brava,895.25,952.62,834.67,//,//,//,910.75,939.72,726.26,889.04,964.59,844.08
Santa Cruz,1084.29,1147.93,988.83,817.24,814.19,829.83,969.33,984.76,908.71,1126.16,1233.62,1001.08
Santana,862.43,975.47,793.94,720.74,675.49,…,877.57,938.32,754.04,861.1,1006.86,797.72
São Vicente,854.09,891.69,811.52,709.14,690.01,734.65,833.92,862.62,710.37,863.88,915.62,824.24
Porto Santo,1142.94,1285.67,985.38,…,…,…,1415.53,1485.48,748.58,1102.11,1227.65,992.27
