District,Municipality,Parish,DTMN21,DTMNFR21,DTMNFRSEC21,SECNUM21,SSNUM21,SECSSNUM21,SUBSECCAO,Number of Classic Buildings,Classic buildings with 1 or 2 accommodations,Classic buildings with 3 or more accommodations,Exclusively residential buildings,Buildings with 1 or 2 floors,Buildings with 3 or more floors,Buildings constructed before 1945,Buildings constructed between 1946 and 1980,Buildings constructed between 1981 and 2000,Buildings constructed between 2001 and 2010,Buildings constructed between 2011 and 2021,Buildings needing repairs,Total number of accommodations,Number of family accommodations,Classic family accommodations for habitual residence,Classic family accommodations vacant or for secondary residence,Habitual family accommodations accessible to wheelchairs,Habitual family accommodations with parking,Habitual family accommodations owned by occupants,Habitual family accommodations that are rented,Private household groups,Private household groups with 1 or 2 people,Private household groups with 3 or more people,Number of family units,Family units with children,Total number of individuals,Male individuals,Female individuals,Individuals aged between 0 and 14 years,Individuals aged between 15 and 24 years,Individuals aged between 25 and 64 years,Individuals aged 65 years or more,geom_Length,geom_Area
Coimbra,Penacova,Oliveira do Mondego e Travanca do Mondego,613,61314,61314001,1,36,136,6131400136,15,15,0,15,13,2,1,4,9,0,1,0,15,15,10,5,1,8,9,0,10,6,4,8,1,22,10,12,0,1,12,9,4815.293676,859110.4765
Coimbra,Penacova,Oliveira do Mondego e Travanca do Mondego,613,61313,61313001,1,17,117,6131300117,15,13,2,15,12,3,2,4,5,3,1,0,26,26,19,7,4,18,16,2,19,7,12,18,9,57,29,28,8,9,31,9,5411.319567,1138715.083
Coimbra,Penacova,Oliveira do Mondego e Travanca do Mondego,613,61313,61313001,1,33,133,6131300133,33,33,0,33,29,4,2,7,20,4,0,8,36,36,20,16,14,15,17,0,20,12,8,18,10,51,27,24,6,8,26,11,3545.36443,487654.9665
Coimbra,Penacova,Oliveira do Mondego e Travanca do Mondego,613,61313,61313001,1,34,134,6131300134,10,10,0,10,10,0,0,6,3,1,0,2,10,10,6,4,2,6,6,0,6,4,2,5,1,14,7,7,0,1,6,7,688.8025332,16024.27811
Coimbra,Penacova,Oliveira do Mondego e Travanca do Mondego,613,61313,61313001,1,35,135,6131300135,7,7,0,7,6,1,3,3,1,0,0,3,7,7,6,1,0,5,5,0,6,2,4,4,2,21,10,11,6,0,8,7,626.9493246,21670.11128
Coimbra,Penacova,Oliveira do Mondego e Travanca do Mondego,613,61313,61313001,1,43,143,6131300143,23,23,0,23,22,1,10,5,7,1,0,8,26,26,11,15,1,1,7,2,11,9,2,7,2,20,8,12,2,0,9,9,6481.397718,1757189.362
Coimbra,Penela,"São Miguel, Santa Eufémia e Rabaçal",614,61407,61407001,1,5,105,6140700105,5,5,0,5,5,0,1,1,3,0,0,2,5,5,3,2,2,2,3,0,3,3,0,3,0,6,3,3,0,0,1,5,1689.0611,136059.1008
Coimbra,Penacova,Oliveira do Mondego e Travanca do Mondego,613,61314,61314001,1,30,130,6131400130,13,13,0,13,10,3,5,3,4,0,1,10,13,13,5,8,4,3,5,0,5,3,2,4,0,11,6,5,0,0,4,7,957.2240676,37291.07131
Coimbra,Penacova,Oliveira do Mondego e Travanca do Mondego,613,61313,61313001,1,12,112,6131300112,18,18,0,18,17,1,3,2,8,3,2,3,18,18,12,6,9,9,12,0,12,8,4,8,5,26,10,16,4,4,12,6,3134.844493,383400.903
Coimbra,Penacova,Penacova,613,61307,61307002,2,46,246,6130700246,30,30,0,30,30,0,6,18,4,2,0,18,30,30,14,16,8,8,12,0,14,8,6,11,3,37,17,20,1,4,15,17,2902.399754,177453.2152
Coimbra,Penacova,Oliveira do Mondego e Travanca do Mondego,613,61314,61314002,2,24,224,6131400224,28,28,0,28,27,1,9,11,6,1,1,12,31,31,22,9,10,15,16,0,22,13,9,18,9,53,25,28,5,5,26,17,957.5061581,42738.34729
Coimbra,Penacova,Oliveira do Mondego e Travanca do Mondego,613,61314,61314002,2,25,225,6131400225,9,8,1,9,8,1,2,4,3,0,0,4,15,15,9,6,3,2,8,1,9,6,3,7,4,21,12,9,2,4,13,2,503.5534137,7179.182098
Coimbra,Penacova,Oliveira do Mondego e Travanca do Mondego,613,61314,61314002,2,26,226,6131400226,10,9,1,10,5,5,2,1,6,1,0,2,15,15,9,6,3,7,9,0,9,7,2,7,4,22,12,10,4,2,9,7,1500.726077,113206.7079
Coimbra,Penacova,Oliveira do Mondego e Travanca do Mondego,613,61313,61313001,1,13,113,6131300113,16,16,0,16,14,2,3,8,5,0,0,4,19,19,12,7,3,8,11,0,12,10,2,7,2,22,7,15,1,3,7,11,2178.950451,84977.92442
Coimbra,Penacova,Oliveira do Mondego e Travanca do Mondego,613,61313,61313001,1,14,114,6131300114,13,13,0,13,13,0,4,6,1,0,2,6,14,14,10,4,3,5,10,0,10,6,4,5,2,23,12,11,3,1,9,10,3765.2747,625069.0308
Coimbra,Penacova,Penacova,613,61301,61301001,1,3,103,6130100103,2,2,0,2,1,1,0,0,1,1,0,0,2,2,1,1,1,1,1,0,1,0,1,2,1,6,3,3,1,0,4,1,2476.269349,260907.4976
Coimbra,Penacova,Oliveira do Mondego e Travanca do Mondego,613,61313,61313001,1,29,129,6131300129,12,12,0,12,12,0,1,6,3,1,1,4,12,12,7,5,3,3,6,0,7,5,2,5,1,14,6,8,1,0,5,8,4098.308099,544646.0724
Coimbra,Penacova,Oliveira do Mondego e Travanca do Mondego,613,61313,61313001,1,30,130,6131300130,12,12,0,12,10,2,3,4,4,1,0,3,12,12,8,4,6,7,6,0,8,3,5,6,2,22,9,13,2,0,14,6,1016.805477,32083.92811
Coimbra,Penacova,Oliveira do Mondego e Travanca do Mondego,613,61313,61313001,1,31,131,6131300131,17,17,0,17,16,1,3,8,5,1,0,7,17,17,12,5,6,8,12,0,12,9,3,5,2,23,9,14,0,2,11,10,881.1222025,41252.87877
Coimbra,Penacova,Oliveira do Mondego e Travanca do Mondego,613,61313,61313001,1,32,132,6131300132,7,7,0,7,7,0,1,4,1,1,0,1,8,8,7,1,4,4,5,1,7,5,2,5,0,14,9,5,0,1,7,6,948.4354619,52793.12169
Coimbra,Penacova,Oliveira do Mondego e Travanca do Mondego,613,61313,61313001,1,15,115,6131300115,2,2,0,2,2,0,0,0,1,1,0,0,2,2,1,1,1,1,1,0,1,0,1,1,1,4,2,2,2,0,2,0,3995.340462,443650.0635
Coimbra,Penela,"São Miguel, Santa Eufémia e Rabaçal",614,61407,61407002,2,35,235,6140700235,7,7,0,7,7,0,0,1,2,4,0,4,7,7,3,4,2,3,3,0,3,1,2,3,1,8,4,4,1,0,5,2,1915.20839,169736.5972
Coimbra,Penacova,Oliveira do Mondego e Travanca do Mondego,613,61313,61313001,1,26,126,6131300126,22,22,0,22,17,5,2,3,17,0,0,3,22,22,11,11,5,9,11,0,11,7,4,10,4,29,13,16,2,4,16,7,1461.647179,36539.41098
Coimbra,Penela,"São Miguel, Santa Eufémia e Rabaçal",614,61407,61407002,2,36,236,6140700236,22,20,2,22,18,4,1,5,8,8,0,13,31,31,18,13,3,13,14,4,18,8,10,15,9,53,21,32,13,3,26,11,2734.423575,324171.1148
Coimbra,Penela,"São Miguel, Santa Eufémia e Rabaçal",614,61407,61407002,2,37,237,6140700237,4,4,0,4,3,1,0,2,1,1,0,1,4,4,2,2,2,2,2,0,2,1,1,2,1,7,3,4,1,1,2,3,2650.26495,257911.0889
Coimbra,Penela,"São Miguel, Santa Eufémia e Rabaçal",614,61407,61407001,1,6,106,6140700106,11,11,0,11,8,3,0,2,3,5,1,2,11,11,9,2,3,7,9,0,9,5,4,7,4,23,9,14,2,5,11,5,2538.730653,194725.8366
Coimbra,Penela,Espinhal,614,61407,61407001,1,7,107,6140700107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5503.212875,783247.3251
Coimbra,Vila Nova de Poiares,São Miguel de Poiares,617,61702,61702001,1,21,121,6170200121,3,3,0,3,3,0,2,0,1,0,0,2,3,3,1,2,1,1,1,0,1,1,0,1,0,2,1,1,0,0,0,2,5586.408327,939654.6443
Coimbra,Vila Nova de Poiares,Lavegadas,617,61702,61702001,1,22,122,6170200122,8,8,0,8,8,0,2,2,3,0,1,4,8,8,5,3,1,3,5,0,5,2,3,5,2,15,7,8,2,1,7,5,1530.029489,110758.2179
Coimbra,Mortágua,Trezói,1808,180804,180804001,1,36,136,18080400136,2,2,0,2,0,2,0,0,2,0,0,0,3,3,2,1,2,2,2,0,2,1,1,3,1,7,2,5,1,0,4,2,4617.22953,917273.9601
Coimbra,Mortágua,"Mortágua, Vale de Remígio, Cortegaça e Almaça",1808,180807,180807001,1,2,102,18080700102,6,6,0,6,6,0,0,4,1,0,1,2,6,6,5,1,1,2,5,0,5,2,3,3,1,13,7,6,0,3,7,3,1799.047601,123172.9079
Coimbra,Mortágua,"Mortágua, Vale de Remígio, Cortegaça e Almaça",1808,180807,180807001,1,3,103,18080700103,16,16,0,16,16,0,0,8,7,1,0,8,16,16,12,4,2,10,12,0,12,7,5,11,2,28,14,14,2,1,14,11,2038.84373,112649.9513
Coimbra,Mealhada,Luso,111,11104,11104002,2,30,230,1110400230,15,15,0,15,14,1,0,7,1,7,0,11,17,17,11,6,1,5,8,1,11,9,2,7,1,21,8,13,1,1,9,10,2265.781857,103406.4484
Coimbra,Miranda do Corvo,Lamas,609,60901,60901001,1,21,121,6090100121,9,9,0,9,8,1,5,3,0,1,0,3,10,10,8,2,3,6,7,0,8,6,2,4,1,15,4,11,0,1,7,7,788.0563835,25606.95373
Coimbra,Miranda do Corvo,Lamas,609,60901,60901001,1,23,123,6090100123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4114.846534,744715.1463
Coimbra,Miranda do Corvo,Lamas,609,60901,60901001,1,24,124,6090100124,14,14,0,14,13,1,3,9,1,1,0,10,14,14,10,4,2,4,10,0,10,7,3,6,2,22,12,10,0,2,8,12,534.2046164,13508.6896
Coimbra,Miranda do Corvo,Lamas,609,60901,60901001,1,25,125,6090100125,7,7,0,7,6,1,0,4,2,0,1,2,7,7,5,2,0,4,4,0,5,4,1,5,2,16,8,8,3,0,9,4,804.9408746,30118.27686
Coimbra,Penela,Podentes,609,60902,60902002,2,6,206,6090200206,4,4,0,4,4,0,0,3,0,1,0,2,4,4,2,2,1,0,2,0,2,1,1,2,1,6,2,4,2,0,4,0,6541.001437,1103451.435
Coimbra,Miranda do Corvo,Lamas,609,60901,60901001,1,2,102,6090100102,22,22,0,22,22,0,4,9,6,2,1,17,22,22,11,11,0,5,11,0,11,8,3,8,3,22,9,13,1,2,10,9,1079.57185,47909.60712
Coimbra,Penacova,Oliveira do Mondego e Travanca do Mondego,613,61313,61313001,1,37,137,6131300137,36,36,0,36,31,5,1,10,21,4,0,5,38,38,22,16,7,14,20,1,22,15,7,16,6,51,25,26,5,4,22,20,1733.915183,135745.9859
Coimbra,Penacova,Oliveira do Mondego e Travanca do Mondego,613,61313,61313001,1,39,139,6131300139,16,16,0,16,12,4,1,6,8,1,0,3,16,16,10,6,4,7,10,0,10,7,3,8,3,24,11,13,1,5,9,9,4398.946071,618158.6633
Coimbra,Penacova,Penacova,613,61313,61313001,1,36,136,6131300136,4,4,0,4,2,2,0,2,1,1,0,0,5,5,4,1,1,3,4,0,4,4,0,2,0,7,3,4,0,0,3,4,8605.928487,1397802.805
Coimbra,Miranda do Corvo,Vila Nova,609,60905,60905001,1,6,106,6090500106,13,13,0,13,13,0,0,3,8,2,0,10,13,13,2,11,2,1,2,0,2,0,2,2,1,10,3,7,2,1,5,2,615.5793835,20039.76387
Coimbra,Miranda do Corvo,Vila Nova,609,60905,60905001,1,8,108,6090500108,6,6,0,6,6,0,0,2,4,0,0,6,6,6,5,1,0,3,3,0,5,4,1,3,1,10,5,5,1,1,6,2,445.6538744,5369.747672
Coimbra,Mealhada,Luso,111,11104,11104002,2,31,231,1110400231,15,15,0,15,11,4,5,8,1,1,0,14,15,15,4,11,1,0,3,0,4,3,1,3,0,8,4,4,0,0,5,3,5320.165941,717148.429
Coimbra,Mealhada,Luso,111,11104,11104002,2,32,232,1110400232,3,3,0,3,3,0,0,3,0,0,0,2,4,4,1,3,1,1,1,0,1,1,0,1,0,2,1,1,0,0,0,2,514.1956743,11282.50141
Coimbra,Mealhada,Luso,111,11104,11104002,2,33,233,1110400233,9,9,0,9,6,3,1,2,6,0,0,5,10,10,7,3,2,4,3,0,7,5,2,2,1,13,5,8,1,0,6,6,428.2897455,7481.434859
Coimbra,Mealhada,Luso,111,11104,11104001,1,4,104,1110400104,28,28,0,28,26,2,3,8,11,6,0,27,30,30,17,13,9,12,15,1,17,11,6,14,2,38,18,20,1,1,20,16,2187.515594,142224.1576
Coimbra,Mealhada,Luso,111,11104,11104001,1,5,105,1110400105,37,33,4,37,30,7,1,11,17,8,0,28,50,50,31,19,11,16,24,2,31,15,16,25,17,80,34,46,16,10,33,21,1056.559729,41017.95445
Coimbra,Mealhada,Luso,111,11104,11104001,1,28,128,1110400128,14,14,0,14,13,1,5,7,2,0,0,14,15,15,10,5,3,7,8,0,10,5,5,7,4,27,16,11,3,4,11,9,2124.141929,146341.7194
Coimbra,Mealhada,Luso,111,11104,11104002,2,11,211,1110400211,16,15,1,16,13,3,5,7,1,0,3,12,20,20,7,13,5,6,5,1,7,4,3,5,2,17,7,10,1,1,10,5,6882.696383,899439.0157
Coimbra,Mealhada,Luso,111,11104,11104002,2,12,212,1110400212,16,15,1,16,15,1,1,13,1,1,0,14,20,20,15,5,5,7,10,1,15,11,4,9,2,30,14,16,3,1,19,7,754.5953278,29230.07325
Coimbra,Mealhada,Luso,111,11104,11104001,1,24,124,1110400124,11,11,0,11,11,0,6,3,2,0,0,10,11,11,5,6,2,3,5,0,5,3,2,5,2,16,7,9,3,0,9,4,1678.026406,69475.10022
Coimbra,Mealhada,Luso,111,11104,11104001,1,25,125,1110400125,24,23,1,24,22,2,0,5,8,11,0,15,28,28,17,11,9,15,16,0,17,8,9,13,8,44,20,24,5,7,24,8,1977.232382,149894.0442
Coimbra,Penacova,Penacova,613,61307,61307003,3,8,308,6130700308,14,14,0,14,12,2,3,3,6,2,0,5,14,14,8,6,6,8,8,0,8,7,1,4,1,13,5,8,0,1,6,6,2379.140313,175495.5452
Coimbra,Penacova,Lorvão,613,61304,61304002,2,17,217,6130400217,18,18,0,18,6,12,17,0,1,0,0,3,18,18,5,13,1,0,3,1,5,5,0,2,0,7,3,4,0,0,4,3,183.883836,1400.013856
Coimbra,Penacova,Lorvão,613,61304,61304002,2,18,218,6130400218,4,4,0,4,4,0,2,1,1,0,0,1,4,4,2,2,1,2,2,0,2,1,1,3,1,7,3,4,1,0,2,4,1877.453068,119230.7398
Coimbra,Penacova,Lorvão,613,61304,61304003,3,44,344,6130400344,4,4,0,4,4,0,0,0,3,0,1,0,4,4,1,3,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,2325.88026,193909.3057
Coimbra,Penacova,Lorvão,613,61304,61304002,2,19,219,6130400219,11,11,0,11,7,4,4,4,1,2,0,0,12,12,11,1,5,5,7,2,11,8,3,8,3,24,11,13,4,0,9,11,1023.299587,26452.09212
Coimbra,Penacova,Lorvão,613,61304,61304002,2,20,220,6130400220,13,13,0,13,7,6,8,4,1,0,0,2,13,13,9,4,0,3,7,1,9,6,3,9,4,23,10,13,2,4,9,8,216.3404063,1159.929165
Coimbra,Vila Nova de Poiares,Arrifana,613,61307,61307003,3,14,314,6130700314,5,5,0,5,5,0,1,3,0,1,0,3,5,5,4,1,1,2,3,0,4,4,0,2,0,6,3,3,0,0,1,5,4453.984417,623053.0018
Coimbra,Penacova,Lorvão,613,61304,61304002,2,21,221,6130400221,9,9,0,9,9,0,2,5,2,0,0,1,10,10,4,6,1,0,4,0,4,4,0,4,0,8,4,4,0,0,2,6,263.9892419,1363.479873
Coimbra,Penacova,Lorvão,613,61304,61304002,2,22,222,6130400222,20,20,0,20,12,8,16,1,1,2,0,0,20,20,12,8,1,2,8,3,12,11,1,8,0,22,8,14,0,1,10,11,312.8941301,2561.955221
Coimbra,Penacova,Lorvão,613,61304,61304002,2,27,227,6130400227,18,17,1,18,14,4,4,9,4,1,0,1,23,23,14,9,1,10,12,0,14,10,4,8,2,29,14,15,0,2,16,11,5536.709062,367141.6052
Coimbra,Penacova,Penacova,613,61307,61307001,1,5,105,6130700105,16,11,5,16,7,9,0,5,5,6,0,1,42,42,37,5,21,30,31,6,37,15,22,34,23,107,52,55,29,9,58,11,691.4364804,14969.62445
Coimbra,Penacova,Penacova,613,61307,61307001,1,6,106,6130700106,19,14,4,19,7,12,0,10,5,4,0,3,28,27,21,6,6,9,17,2,21,14,7,19,8,79,29,50,2,7,23,47,863.0028987,16868.57957
Coimbra,Penacova,Penacova,613,61307,61307003,3,20,320,6130700320,16,16,0,16,13,3,5,8,1,2,0,12,16,16,9,7,0,3,7,1,9,7,2,7,3,20,10,10,3,2,8,7,448.0044812,8349.37328
Coimbra,Penacova,Penacova,613,61307,61307002,2,34,234,6130700234,3,3,0,3,2,1,0,1,2,0,0,2,3,3,3,0,0,2,3,0,3,2,1,1,1,6,3,3,1,1,3,1,1876.825366,157045.2028
Coimbra,Miranda do Corvo,Miranda do Corvo,609,60902,60902002,2,2,202,6090200202,16,16,0,16,15,1,2,13,0,1,0,16,16,16,3,13,1,1,3,0,3,2,1,2,1,7,3,4,1,0,3,3,403.7040951,8009.341961
Coimbra,Penacova,Friúmes e Paradela,613,61312,61312001,1,19,119,6131200119,5,5,0,5,5,0,1,2,2,0,0,0,5,5,3,2,2,1,3,0,3,2,1,2,0,6,3,3,0,0,5,1,3695.788331,296099.2629
Coimbra,Penacova,Friúmes e Paradela,613,61312,61312001,1,20,120,6131200120,41,41,0,41,40,1,12,17,10,2,0,2,41,41,15,26,4,10,14,1,15,9,6,12,6,39,18,21,5,4,22,8,3510.461185,591353.2341
Coimbra,Penacova,Friúmes e Paradela,613,61312,61312001,1,4,104,6131200104,16,16,0,16,15,1,7,7,2,0,0,1,16,16,10,6,3,9,10,0,10,8,2,8,2,21,8,13,1,1,5,14,3386.232487,529016.078
Coimbra,Penacova,Friúmes e Paradela,613,61312,61312001,1,5,105,6131200105,12,12,0,12,12,0,7,3,2,0,0,1,12,12,8,4,1,6,6,0,8,6,2,6,1,17,6,11,1,1,8,7,675.0600002,16298.20869
Coimbra,Penacova,Penacova,613,61307,61307001,1,1,101,6130700101,10,10,0,10,10,0,0,6,1,3,0,6,11,11,10,1,1,6,6,3,10,5,5,7,2,24,13,11,2,1,16,5,418.4734029,9537.470015
Coimbra,Penacova,Penacova,613,61307,61307002,2,33,233,6130700233,6,6,0,6,3,3,0,1,4,1,0,0,6,6,4,2,2,4,4,0,4,1,3,4,2,11,4,7,0,2,8,1,2507.872103,239427.7272
Coimbra,Penacova,Lorvão,613,61304,61304002,2,29,229,6130400229,53,51,1,53,43,10,0,23,25,3,2,0,59,58,38,20,4,14,30,6,38,30,8,28,6,104,46,58,3,3,35,63,1563.945416,71796.92858
Coimbra,Penacova,Penacova,613,61307,61307003,3,17,317,6130700317,23,23,0,23,15,8,7,6,5,5,0,1,23,23,11,12,4,8,11,0,11,8,3,8,1,23,13,10,1,1,11,10,821.8311627,25074.59188
Coimbra,Penacova,Lorvão,613,61307,61307001,1,2,102,6130700102,16,16,0,16,10,6,0,7,2,7,0,3,19,19,17,2,9,15,16,1,17,6,11,18,8,50,25,25,5,5,32,8,2490.872158,93520.96891
Coimbra,Penacova,Penacova,613,61307,61307001,1,3,103,6130700103,4,4,0,4,4,0,0,2,2,0,0,1,4,4,4,0,1,3,3,0,4,2,2,3,1,10,5,5,1,1,5,3,529.2887576,7905.45637
Coimbra,Penacova,Penacova,613,61307,61307003,3,18,318,6130700318,11,11,0,11,11,0,2,3,2,4,0,4,12,12,7,5,1,3,5,2,7,6,1,5,1,13,8,5,0,1,9,3,341.7896876,4601.952314
Coimbra,Vila Nova de Poiares,Arrifana,613,61307,61307003,3,19,319,6130700319,3,3,0,3,3,0,0,0,2,1,0,0,3,3,3,0,2,3,3,0,3,2,1,2,1,7,2,5,0,1,3,3,4967.387896,645019.0138
Coimbra,Penacova,Penacova,613,61307,61307001,1,4,104,6130700104,4,4,0,4,3,1,1,2,1,0,0,0,4,4,2,2,1,2,1,0,2,1,1,2,2,6,3,3,3,0,3,0,425.4206618,7476.629678
Coimbra,Penacova,Figueira de Lorvão,613,61307,61307002,2,16,216,6130700216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3069.97491,327270.696
Coimbra,Penacova,Penacova,613,61307,61307002,2,7,207,6130700207,38,38,0,38,17,21,2,19,11,5,1,2,40,40,28,12,10,21,27,0,28,16,12,24,11,74,33,41,9,6,40,19,2916.512797,184338.8187
Coimbra,Penela,"São Miguel, Santa Eufémia e Rabaçal",609,60905,60905001,1,10,110,6090500110,26,26,0,26,25,1,2,11,11,1,1,19,26,26,9,17,2,6,9,0,9,6,3,8,4,21,10,11,3,2,11,5,1556.653915,124563.7256
Coimbra,Miranda do Corvo,Vila Nova,609,60905,60905001,1,12,112,6090500112,23,23,0,23,22,1,2,3,15,3,0,20,23,23,13,10,4,10,13,0,13,8,5,8,3,29,16,13,2,4,17,6,2462.674186,238479.2804
Coimbra,Penacova,Friúmes e Paradela,613,61312,61312001,1,22,122,6131200122,14,14,0,14,12,2,4,5,2,1,2,1,14,14,8,6,4,5,8,0,8,3,5,6,4,19,11,8,3,1,9,6,2706.680264,136819.2755
Coimbra,Penacova,Friúmes e Paradela,613,61312,61312001,1,23,123,6131200123,6,6,0,6,6,0,1,2,3,0,0,0,6,6,3,3,1,3,3,0,3,3,0,3,0,6,4,2,0,0,3,3,1723.806166,164819.7835
Coimbra,Penacova,Figueira de Lorvão,613,61307,61307001,1,25,125,6130700125,20,20,0,20,11,9,2,7,5,6,0,7,20,20,12,8,6,3,10,0,12,8,4,6,4,25,12,13,3,4,13,5,5756.587755,723239.3004
Coimbra,Penacova,Penacova,613,61307,61307002,2,8,208,6130700208,8,8,0,8,5,3,0,6,1,1,0,0,8,8,3,5,1,2,3,0,3,3,0,1,0,4,1,3,0,0,2,2,419.3768056,4466.338885
Coimbra,Penacova,Friúmes e Paradela,613,61312,61312001,1,29,129,6131200129,3,3,0,3,3,0,0,0,2,1,0,0,3,3,1,2,0,1,1,0,1,0,1,1,1,3,1,2,1,0,1,1,3815.952289,361930.8243
Coimbra,Penacova,Friúmes e Paradela,613,61312,61312001,1,30,130,6131200130,9,9,0,9,9,0,3,4,2,0,0,1,9,9,3,6,2,1,2,0,3,3,0,2,0,5,2,3,0,0,2,3,3299.515213,467023.2376
Coimbra,Penacova,Penacova,613,61307,61307002,2,9,209,6130700209,15,15,0,15,5,10,1,5,5,4,0,4,17,17,11,6,6,7,10,0,11,9,2,7,2,22,11,11,4,0,10,8,931.4208159,32405.4201
Coimbra,Penela,"São Miguel, Santa Eufémia e Rabaçal",609,60902,60902002,2,1,201,6090200201,13,12,0,13,13,0,3,7,2,1,0,11,13,12,3,9,1,1,2,0,4,4,0,2,0,6,4,2,0,0,3,3,6383.25162,633130.6049
Coimbra,Penacova,Friúmes e Paradela,613,61312,61312001,1,21,121,6131200121,11,11,0,11,11,0,1,4,4,2,0,0,11,11,5,6,3,3,4,1,5,5,0,2,0,7,3,4,0,0,0,7,1320.471133,54198.41603
Coimbra,Penacova,Penacova,613,61307,61307002,2,3,203,6130700203,14,14,0,14,10,4,4,6,4,0,0,3,15,15,8,7,2,6,6,2,8,5,3,7,1,18,6,12,0,1,11,6,1997.437624,117395.4012
Coimbra,Penacova,Friúmes e Paradela,613,61312,61312001,1,24,124,6131200124,4,4,0,4,4,0,1,1,1,1,0,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2262.486875,182817.1952
Coimbra,Penacova,Penacova,613,61307,61307001,1,24,124,6130700124,10,10,0,10,5,5,0,5,1,4,0,1,11,11,7,4,5,5,7,0,7,5,2,6,3,15,8,7,3,0,9,3,2832.134854,283054.459
Coimbra,Penacova,Penacova,613,61307,61307002,2,4,204,6130700204,20,20,0,20,3,17,0,7,8,5,0,2,21,21,12,9,8,11,10,0,12,6,6,9,4,34,18,16,1,5,21,7,928.9358427,35439.51805
Coimbra,Penacova,Penacova,613,61307,61307002,2,5,205,6130700205,25,25,0,25,11,14,2,13,6,4,0,2,26,26,17,9,3,15,15,0,17,16,1,7,1,26,10,16,0,1,10,15,2598.15249,387323.266
Coimbra,Penacova,Penacova,613,61307,61307002,2,10,210,6130700210,20,20,0,20,10,10,5,10,3,1,1,10,20,20,10,10,5,4,8,2,10,7,3,7,3,24,11,13,4,2,8,10,4510.72477,504940.3873
Coimbra,Penacova,Penacova,613,61307,61307002,2,11,211,6130700211,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4572.502762,245306.9219
Coimbra,Penacova,Friúmes e Paradela,613,61312,61312001,1,31,131,6131200131,19,19,0,19,19,0,8,4,4,2,1,0,19,19,9,10,3,5,8,1,9,8,1,6,1,16,8,8,1,0,10,5,2227.063599,235990.7548
Coimbra,Penacova,Penacova,613,61307,61307002,2,12,212,6130700212,34,34,0,34,26,8,5,19,7,3,0,2,37,37,19,18,2,14,17,0,19,10,9,14,5,44,21,23,6,1,23,14,1666.581511,57569.42946
Coimbra,Penacova,Friúmes e Paradela,613,61312,61312001,1,25,125,6131200125,18,18,0,18,18,0,4,4,8,2,0,0,18,18,11,7,4,10,11,0,11,7,4,10,2,30,15,15,3,1,14,12,6585.063175,1020277.65
Coimbra,Penacova,Oliveira do Mondego e Travanca do Mondego,613,61313,61313001,1,2,102,6131300102,28,28,0,28,22,6,7,8,10,1,2,4,30,30,16,14,4,7,12,1,16,9,7,14,4,39,17,22,2,2,21,14,1742.17131,136160.8187
Coimbra,Miranda do Corvo,Lamas,609,60901,60901001,1,3,103,6090100103,55,55,0,55,53,2,14,18,15,8,0,42,55,55,28,27,5,16,26,0,28,18,10,17,7,56,25,31,4,5,29,18,2690.923756,330714.7245
Coimbra,Penela,"São Miguel, Santa Eufémia e Rabaçal",609,60905,60905001,1,33,133,6090500133,16,16,0,16,13,3,0,9,6,1,0,13,16,16,3,13,1,3,3,0,3,2,1,2,1,7,4,3,2,0,3,2,3774.453918,314707.0532
Coimbra,Miranda do Corvo,Vila Nova,609,60905,60905001,1,23,123,6090500123,7,7,0,7,7,0,1,4,2,0,0,7,7,7,3,4,2,2,3,0,3,3,0,2,0,5,2,3,0,0,3,2,770.2089693,15329.81674
Coimbra,Miranda do Corvo,Vila Nova,609,60905,60905001,1,24,124,6090500124,72,72,0,72,64,8,0,22,45,5,0,59,72,72,35,37,19,27,35,0,35,26,9,25,6,77,35,42,5,9,34,29,6778.835684,883825.6136
Coimbra,Miranda do Corvo,Vila Nova,609,60905,60905001,1,25,125,6090500125,16,16,0,16,16,0,12,0,4,0,0,13,16,16,7,9,2,3,6,1,7,5,2,5,2,15,9,6,1,1,7,6,222.448821,1999.856043
Coimbra,Miranda do Corvo,Vila Nova,609,60905,60905001,1,26,126,6090500126,30,30,0,30,30,0,6,13,6,5,0,23,30,30,12,18,6,7,10,0,12,5,7,11,2,33,17,16,3,1,17,12,2760.825769,253633.2206
Coimbra,Miranda do Corvo,Lamas,609,60901,60901001,1,19,119,6090100119,18,18,0,18,13,5,3,6,6,3,0,3,20,20,12,8,3,11,11,0,12,10,2,8,2,23,12,11,2,1,12,8,4355.510437,493909.7299
