,"Total, HM (€)","Total, H (€)","Total, M (€)","Primário
CAE: A, HM (€)","Primário
CAE: A, H (€)","Primário
CAE: A, M (€)","Secundário
CAE: B - F, HM (€)","Secundário
CAE: B - F, H (€)","Secundário
CAE: B - F, M (€)","Terciário
CAE: G - U, HM (€)","Terciário
CAE: G - U, H (€)","Terciário
CAE: G - U, M (€)"
São João da Pesqueira,1015.81,1071.61,946.65,994.26,1034.63,877.82,1016,1010.66,1031.54,1024.37,1161.93,940.16
Sernancelhe,906.36,918.61,887.85,748.18,759.54,708.4,912.77,904.28,954.89,910.96,952.8,878.43
Tabuaço,1023.68,1067.49,975.58,1004.2,1070.22,897.99,1068.33,1044.76,1136.85,986.5,1121.65,931.76
Tarouca,908.15,940.19,844.22,829.66,833.83,783.73,983.92,996.2,917.29,859.27,887.41,827.92
Torre de Moncorvo,933.46,979.14,886.25,849.64,858.85,820.87,981.89,1011.27,869.64,926.78,985.21,891.33
Vila Nova de Foz Côa,992.61,1077.42,897.28,905.57,910.88,878.48,1078.86,1120.35,936.97,942.85,1064.82,888.55
Vila Real,1140.47,1159.97,1120.11,921.94,918.6,927.34,1120.93,1101.99,1177.23,1150.72,1197.66,1114.66
Terras de Trás-os-Montes,1021.88,1061.87,982.6,918.81,910.63,934.99,993.19,1006.08,950.29,1035.93,1108.1,987.84
Alfândega da Fé,925.34,928.24,922.57,914.08,916.18,905.66,828.84,830.32,822.99,955.18,994.75,932.54
Bragança,1088.2,1134.87,1040.88,856.69,868.35,809.26,1053.89,1068.19,1010.18,1105.06,1190.27,1046.98
Macedo de Cavaleiros,979.76,999.38,959.62,855.4,867.72,827.98,911.23,920.97,871.6,1005.71,1051.63,972.24
Miranda do Douro,934.9,984.83,888.66,861.4,890.01,820.54,961.44,1008.29,802.69,929.42,975.54,902.63
Mirandela,1032.14,1075.05,992.74,871.38,884.09,838.98,973.27,990.94,922.61,1051.57,1123.37,1002.51
Mogadouro,938.16,995.89,872.14,827.31,850.64,770.67,926.99,941,855.7,948.81,1042.31,877.02
Vila Flor,979.21,1016.42,942.27,1076.13,1060.25,1092.01,1076.58,1074.41,1085.35,912.86,951.3,889.48
Vimioso,893.87,884.39,900.68,882.1,741.8,…,879.95,879.96,879.93,898.95,894.69,900.47
Vinhais,889.96,902.65,877.77,789.65,789.65,//,808.95,813.18,795.18,921.63,973.94,889.53
Centro,1147.11,1253.06,1016.05,1009.66,1052.07,917.9,1198.56,1264.17,1047.91,1118.63,1255.37,1006.75
Oeste,1106.76,1198.24,993.68,1035.79,1099.49,899.82,1138.92,1193.16,1017.69,1096.16,1217.54,991.74
Alcobaça,1074.19,1165.11,967.38,894.05,915.09,853.43,1104.83,1179.68,951.64,1058.91,1176.19,981.61
Alenquer,1239.69,1325.22,1086.34,1199.78,1229.26,1146.59,1283.31,1342.27,1138.52,1202.62,1315.39,1048.35
Arruda dos Vinhos,1141.41,1205.12,1040.12,1023.65,1134.1,846.93,1137.28,1171.38,1035.73,1145.07,1222.13,1044.23
Bombarral,997.89,1044.39,949.08,898.72,892.49,906.64,958.66,956.72,966.74,1029.47,1134.09,954.05
Cadaval,1043.26,1135.03,947.65,916.47,923.79,894.51,1072.81,1132.82,896.27,1048.17,1207.45,961.05
Caldas da Rainha,1106.45,1209.67,1000.42,877.9,922.74,801.79,1158.8,1230.37,1001.85,1099.81,1218.12,1006.31
Lourinhã,1077.03,1178.88,936.29,1338.61,1495.33,885.59,1025.89,1028,1016.74,1046.33,1197.67,928.6
Nazaré,1081.21,1213.72,959.02,1183.27,1266.66,925.16,1086.08,1168.81,981.26,1074.1,1232.63,952.71
Óbidos,1062.9,1124.21,990.05,1229.33,1326.01,1014.95,1004.64,1011.55,989.17,1070.27,1158.96,989.03
Peniche,1050.14,1167.23,935.95,1351.12,1445.73,967.68,1039.99,1152.43,905.07,998.21,1074.06,945.27
Sobral de Monte Agraço,1058.97,1145.83,946.8,944.62,944.92,944.23,1023.51,1046.91,983.61,1090.38,1244.24,926.75
Torres Vedras,1108.61,1183.84,1012.69,877.33,895.13,842.17,1155.97,1186.55,1081.84,1115.44,1233.3,1008.18
Região de Aveiro,1209.91,1330.3,1053.71,1051.07,1110.93,897.74,1252.75,1343.13,1081.75,1167.07,1317.41,1035.83
Águeda,1127.48,1242.53,987.39,1012.45,1071.09,845.34,1160.36,1261.92,984.58,1077.82,1200.8,991.11
Albergaria-a-Velha,1194.12,1300.69,1031.28,926.32,933.15,912.03,1249.95,1309.4,1109.71,1126.08,1296.67,973.9
Anadia,1092.67,1180.39,990.24,1073.53,1135.8,946.55,1150.12,1199.44,1048.95,1016.63,1136.76,951.85
Aveiro,1315.84,1448.07,1146.58,1001.48,1053.21,852.25,1419.49,1496.48,1230.05,1259.14,1410.98,1121.44
Estarreja,1349.15,1480.58,1062.67,956.02,1005.58,881.67,1401.23,1475.34,1194.11,1298.06,1494.92,962.2
Ílhavo,1247.82,1406.49,1054.64,1295.91,1325.8,1144.35,1232.09,1359.67,1038.11,1262.95,1480.53,1067.15
Murtosa,985.61,1067.99,912.44,990.26,1059.32,787.15,1011.3,1085.01,922.69,958.32,1043.16,910.44
Oliveira do Bairro,1127.67,1233.67,999.85,962.85,1063.26,762.05,1175.43,1255.86,1034.68,1067.03,1192.62,971.78
Ovar,1180.88,1271.63,1062.51,842.86,877.92,776.43,1255.02,1343.87,1120.11,1066.52,1140.24,990.94
Sever do Vouga,1120.54,1226.87,949.74,909.18,989.72,757.04,1185.22,1266.19,958.24,1030.4,1138.1,947.14
Vagos,1059.71,1140.43,986.75,937.05,1023.18,797.91,1094.12,1188.02,981.68,1015.97,1052.25,993.9
Região de Coimbra,1167.6,1283.6,1034.05,1051.92,1068.92,1015.15,1215.92,1288.67,1045.23,1147.76,1291.53,1031.44
Arganil,954.55,1032.76,880.74,1012.58,1033.27,800.55,982.36,1002.89,930.73,936.52,1067.91,869.2
Cantanhede,1153.55,1247.7,1042.18,1578.43,1567.21,1594.07,1176.36,1230.7,1047.18,1101.15,1242.15,1012.7
Coimbra,1265.51,1391.8,1130.12,916.73,940.44,867.38,1309.14,1358.79,1191.5,1257.8,1408.86,1123.12
Condeixa-a-Nova,1092.11,1210.28,986.17,954.19,982.41,860.13,1117.3,1154.97,1047.47,1080.85,1261.3,969.31
Figueira da Foz,1259.82,1418.19,1039.97,1229.16,1326.4,911.92,1469.16,1558.88,1168.14,1108.64,1243.62,1003.9
Góis,876.76,877.56,876.21,917.64,912.65,929.88,790.7,792.86,784.15,898.65,942.14,883.31
Lousã,1065.3,1156.7,955.18,832.1,802.81,892.08,1131.83,1209.92,978.44,1024.15,1120.04,945.78
Mealhada,1185.85,1283.13,1018.7,926.94,1021.93,831.94,1244.79,1259.31,1187.99,1170.85,1296.94,995.68
Mira,996.26,1069.42,927.38,1048.25,1042.46,1058.82,1026.4,1104.18,916.43,962.97,1036.9,918.41
Miranda do Corvo,960.43,1003.42,924.59,886.13,909.74,825.43,1018.54,1054.14,946.91,950.02,992.95,925.17
Montemor-o-Velho,1042.67,1108.77,966.21,855.12,861.7,844.2,1071.62,1098.14,1006.89,1051.84,1170.77,965.23
Mortágua,1065.55,1155.54,954.85,974.08,977.23,957.77,1081.82,1160.99,968.26,1065.02,1208.29,943.8
Oliveira do Hospital,977.66,1039.64,906.96,820.82,827.29,796.71,971.19,1042.32,820.55,986.91,1046.64,945.63
Pampilhosa da Serra,942.01,1020.5,897.34,1105.67,1141.57,940.56,852.17,861.89,781.45,950.95,1135.66,900.69
Penacova,1022.96,1089.46,905.83,882.89,884.55,…,1180.09,1194.65,1074.48,935.75,990.07,882.83
Penela,1067.34,1151.65,938.25,1204.11,1239.97,…,1135.77,1179.2,950.47,994.14,1087.42,934.9
Soure,1085.25,1248.25,941.4,850.88,859.64,841.62,1240.93,1378.65,955.57,1018.56,1162.34,946.87
Tábua,999.06,1101.8,902.88,878.74,880.81,874.95,956.4,1039.18,867.52,1067.94,1231.57,947.21
Vila Nova de Poiares,1047.51,1168.79,934.83,803.56,810.56,…,1098.45,1202.58,996.83,1018.38,1156.77,897.11
Região de Leiria,1194.01,1309.68,1033.95,961.6,1012.92,890.08,1271.13,1341.33,1089.99,1134.51,1277.73,1012.23
Alvaiázere,1012.36,1081.61,890.81,730.78,769.18,689.44,973.29,969.88,994.09,1042.42,1182.36,883.4
Ansião,999.36,1085.97,895.5,856.94,871.45,835.18,961.48,1022.22,852.24,1023.95,1139.93,914.1
Batalha,1167.32,1276.2,1007.48,873.27,878.85,868.9,1191.51,1272.39,1021.34,1147.53,1294.78,1001.82
Castanheira de Pêra,970.18,1093.14,886.98,1328.92,1364.45,…,931.85,1073.25,792.24,969.81,1050.23,936.08
Figueiró dos Vinhos,948.74,950.05,947.62,1015.06,982.63,1188.01,883.97,878.14,901.46,967.54,999.01,950.97
Leiria,1202.62,1313.45,1055.02,1000.75,1064.31,919.85,1272.87,1336.16,1093.5,1161.82,1297.55,1045.71
Marinha Grande,1387.85,1558.67,1112.59,955.69,949.05,…,1521.91,1628,1250.82,1151.65,1362.12,990.25
Pedrógão Grande,999.4,982.88,1014.07,953.25,979.27,753.73,1040.83,995.01,1224.11,993,977.01,1001.9
Pombal,1095.63,1188.01,965.48,919.48,966.49,861.27,1116.78,1163.91,995.58,1083.55,1230.89,954.78
Porto de Mós,1177.43,1272.95,1038.63,876.4,899.46,836.3,1212.23,1275.21,1076.79,1139.66,1284.52,1012.06
Viseu Dão Lafões,1099.74,1183.47,993.58,974.37,1007.74,915.2,1100.94,1146.58,991.82,1103.36,1232.86,996.09
Aguiar da Beira,894.11,935.88,855.46,800.23,811.31,744.87,935.15,963.97,855.32,883.73,932.5,857.5
Carregal do Sal,1080.71,1137.78,1009.19,983.35,1000.17,927.71,1128.98,1183.93,1031.52,1012.2,1044.06,990.24
Castro Daire,929.99,993.32,842.97,811.66,797.34,855.72,905.49,912.72,867.81,943.96,1058.05,839.94
Mangualde,1209.26,1343.32,931.73,907.93,975.62,834.09,1108.33,1189.61,917.11,1282.68,1459.16,942.68
Nelas,1161.71,1290.91,986.6,1009.49,1037.5,953.48,1273.05,1370.42,1063.24,956.19,1028.27,914.33
Oliveira de Frades,1141.32,1217,1023.18,978.65,1094.42,859.76,1182.06,1239.08,1051.34,1070.19,1152.33,1012.39
Penalva do Castelo,992.62,1074.13,878.79,824.98,839.61,784.75,1037.19,1045.71,952.5,970.66,1124.4,873.36
Santa Comba Dão,1024.22,1119.1,938.96,841.88,824.21,867.8,1092.52,1161.84,1004.11,973.42,1085.62,900.57
São Pedro do Sul,900.14,966.27,844.16,806.83,838.47,782.75,929.77,970.73,817.58,892.88,971.8,852.01
Sátão,886.34,918.28,852.97,932.3,920.88,952.96,869.48,877.92,854.62,896.66,971.76,847.53
Tondela,1154.9,1277.91,1021.68,963.59,1025.7,881.78,1196.13,1268.44,1092.41,1112.64,1328.61,959.21
Vila Nova de Paiva,931.49,997.7,869.88,882.01,903.43,860.58,862.28,870.42,827.47,963.55,1130.94,875.44
Viseu,1128.83,1183.2,1058.69,1192.1,1151.29,1354.35,1064.29,1088.93,963.6,1155.65,1254.96,1071.99
Vouzela,952.48,1041.39,875.5,931.71,986,800.51,942.63,1036.67,847.13,969.64,1058.64,914.37
Beira Baixa,1082.01,1163.09,987.86,961.95,983.99,882.61,1119.09,1182.62,953.23,1072.28,1168.69,998.49
Castelo Branco,1075.37,1149.62,994.9,995.31,1014.8,914.34,1100.62,1170.97,947.67,1066.88,1143.41,1007.71
Idanha-a-Nova,986.03,1016.75,952.44,944.18,964.16,858.39,856.8,860.91,842.21,1019.23,1098.96,967.74
Oleiros,1019.9,1097.43,883.89,818.58,805,945.4,1138.73,1173.66,888.39,931.6,1007.74,882.13
Penamacor,998.73,1062.57,921.85,875.95,914.18,834.53,898.33,956.03,785.33,1067.83,1153.04,979
Proença-a-Nova,1056.3,1140.59,945.59,900.85,913.08,879.22,909.9,907.51,920.92,1150.18,1426.24,952.52
Vila Velha de Ródão,1373.2,1526.84,1099.06,1161.92,1176.83,1017.83,1549.59,1631.84,1186.2,1236.18,1420.05,1073.85
Médio Tejo,1115.82,1217.14,995.24,996.48,1032.2,919.48,1203.19,1232.17,1102.94,1073.34,1216.27,974.66
Abrantes,1167.8,1279.63,1007.98,981.85,991.58,946.55,1370.51,1388.29,1301.48,1013.16,1139.85,926.31
Alcanena,1161.28,1223.56,1084.55,922.54,965.73,844.8,1122.82,1141.97,1086.3,1188.09,1298.31,1084.95
Constância,1242.42,1424.94,972.42,1426.72,1618.81,898.46,1397.22,1497.78,1142.51,915.26,1077.51,830.49
Entroncamento,1212.14,1351.49,1036.09,1348.62,1423.87,1085.25,1207.85,1188.09,1316.68,1211.43,1403.46,1019.23
Ferreira do Zêzere,1018.28,1090.85,923.54,1084.89,1145.07,959.32,1055.86,1071.71,973.01,955.99,1062.5,906.22
Mação,939.48,1033.39,860.01,885.01,876.01,970.52,969.08,988.8,906.42,928.18,1143.95,850.93
Ourém,1115.05,1229.73,979.49,907.65,903.53,915.02,1221.49,1266.18,1049.95,1049.68,1189.18,964.99
Sardoal,873.95,901.96,852.35,841,841.32,840.15,866.11,869.07,818.65,880.04,972.53,853.71
Sertã,976.11,1030.45,916.93,838.04,841.24,806.7,935.64,956.41,851.36,1002.8,1127.92,926.62
Tomar,1093.28,1195,975.58,955.81,1037.18,889.9,1179.72,1201.37,1070.48,1065.89,1200.33,969.46
Torres Novas,1145.26,1213.63,1064.49,906.21,915.44,880.94,1182.07,1201.25,1129.16,1130.54,1232.43,1050.32
Vila de Rei,905.72,929.12,894.09,816.75,834.29,767.63,865.22,877.5,821.96,919.13,988.3,900.67
Vila Nova da Barquinha,968.59,1073.61,883.33,903.17,882.19,952.11,1120.93,1150.98,1061.65,926.75,1044.36,854.77
Beiras e Serra da Estrela,1051.24,1136.36,960.65,911.28,924.53,867.41,1038.09,1091.75,926.23,1063.12,1183.42,971.03
Almeida,968.18,1060.03,894.66,805.24,805.31,804.96,881.44,866.8,954.64,982.81,1119.7,894.15
Belmonte,919.45,1007.04,847.94,905.42,921.17,869.29,902.66,1059.54,781.24,935.91,974.93,905.91
Celorico da Beira,1099.55,1355.88,874.85,779.52,759.18,810.96,854.73,995.58,766.25,1198.09,1484.28,922.79
Covilhã,1054.27,1118.17,983.22,836.49,844.04,794.95,995.48,1048.1,894.97,1090.74,1184.42,1014.42
Figueira de Castelo Rodrigo,894.32,902.65,888.39,842,861.04,770.6,843.37,834.61,884.59,916.95,982.68,895.7
Fornos de Algodres,873.61,906.35,842.25,810.89,798.54,838.31,808.23,849.34,729.85,909.64,965.91,873.01
Fundão,1055.15,1127.59,963.91,957.12,995.03,841.66,1010.68,1046.76,954.88,1083.58,1186.79,972.43
Gouveia,951.61,1008.83,909.01,1057.07,1086.98,1018.19,864.02,906.11,787.34,971.86,1059.05,924.79
Guarda,1176.34,1281.3,1042.57,1021.23,1025.06,1002.82,1283.44,1309.94,1181.27,1134.3,1271.29,1020.5
Manteigas,966.46,1006.96,932.16,842.04,850.13,…,988.42,967.01,1041.72,962.15,1062.82,912.81
Mêda,919.15,984.33,871.67,911.39,941.08,838.5,919.54,942.29,852.53,919.94,1063.54,876.19
Pinhel,920.81,967.41,867.79,795.29,804.47,771.42,892.52,901.39,845.1,943.79,1077.2,873.16
Sabugal,968.38,1032.53,924.15,839.97,825.1,935.13,872.43,900,813.3,996.48,1121.52,936.5
Seia,968.04,1012.75,930.43,781.57,795.14,690,939.66,986.02,873.75,984.47,1039.44,949.59
Trancoso,1015.66,1067.94,950.1,811.74,817.5,762.8,908.45,919.47,876.63,1058.5,1160.32,963.55
A. M. Lisboa,1562.69,1692.72,1415.12,1116.2,1134.15,1072.21,1493.95,1492.52,1498.4,1579.14,1757.27,1409.29
Alcochete,2006.62,2632,1157.52,1029.26,1096.48,930.81,1368.19,1377.29,1337.91,2361.87,3583.34,1145.55
Almada,1219.61,1272.67,1173.57,813.94,793.72,857.26,1128.81,1137.62,1090.29,1236.28,1322.28,1178.4
Amadora,1567.29,1707.99,1412.78,1318.87,1398.37,1080.38,1446.19,1382.03,1627.48,1584.58,1777.43,1397.2
Barreiro,1192.2,1318.68,1080.57,//,//,//,1462.28,1507.13,1238.68,1138.5,1239.95,1071.87
Cascais,1293.65,1319.77,1265.13,1259.47,1180.45,1417.53,1267.54,1222.39,1417.29,1299.03,1352.35,1251.32
