,"Proporção de casamentos entre portugueses/as e estrangeiros/as, %, 2022","População estrangeira a quem foi concedido título de residência por 100 habitantes, N.º, 2022","Idade mediana da população residente, N.º, 2022","Índice de envelhecimento, N.º, 2022","Índice de renovação da população em idade ativa, N.º, 2022","Índice de dependência de idosas/os, N.º, 2022","Índice de longevidade, N.º, 2022","Relação de masculinidade, N.º, 2022","Relação de masculinidade dos estrangeiros a quem foi concedido título de residência , N.º, 2022","Idade média das mulheres ao nascimento do primeiro filho, anos, 2022","Idade média da mulher ao primeiro casamento, anos, 2022","Idade média do homem ao primeiro casamento, anos, 2022","Esperança de vida à nascença
┴, anos, 2020-2022","Esperança de vida aos 65 anos
┴, anos, 2020-2022"
Vimioso,16.7,0.14,61.5,578.9,50.7,89.7,53,100,500,x,x,x,x,x
Vinhais,0,0.17,62.4,683.5,37.3,93.5,56.3,98.6,225,x,x,x,x,x
Centro,11.4,0.92,49.4,231.6,68.8,45.1,51,91.9,111.8,30.4,33.4,34.7,81.34,19.85
Oeste,12.1,1.28,47,185.3,76.4,38.9,49.5,93.8,124.7,29.9,34.2,35.2,80.36,19.36
Alcobaça,21.2,1.09,49,223.7,72.3,42.3,49.7,94.2,122.3,x,x,x,x,x
Alenquer,6.1,1.28,44.2,135.5,87.8,31.3,49.3,95.3,112.9,x,x,x,x,x
Arruda dos Vinhos,7.5,0.89,44,119.1,85,29,50.1,96.1,167.3,x,x,x,x,x
Bombarral,46.8,1.14,48.6,217.5,72.2,45.2,47.8,93.2,139.1,x,x,x,x,x
Cadaval,20.3,0.46,50.2,250.2,74,50,51.7,92.9,113.3,x,x,x,x,x
Caldas da Rainha,10.8,1.7,48.4,216.6,72.2,42.1,49.8,90.4,110.2,x,x,x,x,x
Lourinhã,7.2,1.33,47.1,187.8,75,41.1,48.5,94.4,145.3,x,x,x,x,x
Nazaré,10.3,1.46,48.6,208.9,68,43.8,44.9,91.9,100.9,x,x,x,x,x
Óbidos,6.3,1.46,48.9,210.8,71.3,43.3,47.9,96.4,132.9,x,x,x,x,x
Peniche,13,1.25,47.9,196.7,68.4,44.1,48.9,92.9,114.7,x,x,x,x,x
Sobral de Monte Agraço,4.2,0.85,44.4,135.6,88.1,31.1,50.3,94.7,104.3,x,x,x,x,x
Torres Vedras,9.3,1.36,46.2,171.3,80.2,35.7,51,94.7,143.1,x,x,x,x,x
Região de Aveiro,14.1,0.92,47.3,189.4,74.4,37.9,48.2,92.8,125.1,30.4,33,34.6,81.46,20.1
Águeda,7.7,0.95,49.1,218.1,67,42.9,47.7,93.1,156.6,x,x,x,x,x
Albergaria-a-Velha,9.3,0.64,47,184.4,74.8,36.2,46.9,95.6,107.7,x,x,x,x,x
Anadia,8.3,0.64,51.5,276.2,65.4,50.2,51.3,92.2,132.9,x,x,x,x,x
Aveiro,18.5,1.84,45.5,166.8,81.6,33.4,46.8,91.7,142.7,x,x,x,x,x
Estarreja,13.8,0.44,48,195.9,69.5,39.5,50.8,94.9,100,x,x,x,x,x
Ílhavo,16.8,0.68,46.3,162.8,73.1,34.1,46.5,91.6,106.8,x,x,x,x,x
Murtosa,26.1,0.36,46.8,185.5,76.2,39.8,50.5,94.4,44.4,x,x,x,x,x
Oliveira do Bairro,9.2,0.91,46.1,172,88.9,37.5,51.8,91.5,93.8,x,x,x,x,x
Ovar,15.6,0.42,47.1,178.7,74.3,34.5,44.7,92.7,102.6,x,x,x,x,x
Sever do Vouga,0,0.95,52,296.8,63.7,51.4,52,94.9,96.2,x,x,x,x,x
Vagos,10.9,0.64,46.8,183.2,75.6,39.1,50.5,93.5,98.7,x,x,x,x,x
Região de Coimbra,10.8,1.01,50.1,247.9,65.8,46.7,51.3,90.2,92.4,30.9,33.4,34.7,81.46,20.1
Arganil,14.9,1.22,54.6,319.8,53.4,59.4,55.2,91.7,147.3,x,x,x,x,x
Cantanhede,10.6,0.38,51.1,269.1,65.1,52.8,52.8,90.2,103.1,x,x,x,x,x
Coimbra,12.6,1.86,48.3,219,73,41.7,49,87.9,80.8,x,x,x,x,x
Condeixa-a-Nova,0,0.31,47.1,172.4,67.8,36.4,51.7,88.9,47.2,x,x,x,x,x
Figueira da Foz,19.6,0.97,50.9,259.5,60,48.2,50,90.6,107.9,x,x,x,x,x
Góis,0,0.64,57.2,491.5,54.8,71,57.8,88.3,84.6,x,x,x,x,x
Lousã,0,0.47,47.4,184.3,71.1,36.3,49.9,94.1,145.5,x,x,x,x,x
Mealhada,1.8,0.34,49.3,236.5,67.3,42.7,51.4,92,135.7,x,x,x,x,x
Mira,0,0.76,51.2,262.4,63.8,53.9,53.2,92.2,57.6,x,x,x,x,x
Miranda do Corvo,0,0.43,51.1,261.8,64.6,44,52.1,93.7,108,x,x,x,x,x
Montemor-o-Velho,2,0.28,48.9,210.3,61.5,42.8,52.6,93.4,100,x,x,x,x,x
Mortágua,11.1,0.89,55.3,373,58.9,66.5,51.8,92.6,150,x,x,x,x,x
Oliveira do Hospital,2.8,0.64,51.3,263,63.5,48,51.9,92.5,177.8,x,x,x,x,x
Pampilhosa da Serra,10,0.12,62.6,693.6,38.8,95.3,56.9,90.3,150,x,x,x,x,x
Penacova,12.8,0.21,54.3,368.1,56.5,56.9,51.2,89.9,350,x,x,x,x,x
Penela,28.9,1.22,52.3,290.2,59.3,53.3,57.1,92.8,139.3,x,x,x,x,x
Soure,10.8,0.28,53.6,337.8,61.1,60.3,54,90.2,92,x,x,x,x,x
Tábua,0,0.86,51.2,265.5,65,51.7,54.3,90.4,81.5,x,x,x,x,x
Vila Nova de Poiares,0,1.01,49.1,232.2,71.4,41.5,50.9,88.7,129,x,x,x,x,x
Região de Leiria,10.6,1.01,48.1,207.1,72.7,41.3,50.4,93.3,110.5,30.4,33.2,34.3,81.66,20.02
Alvaiázere,3.8,0.83,57.3,417.9,52,69,55.4,88.7,92.6,x,x,x,x,x
Ansião,3.4,0.49,53.4,333.8,58.6,56.1,55.9,91.5,119.2,x,x,x,x,x
Batalha,15.2,0.62,46.3,167.7,76.7,37.1,47.9,95.3,130.2,x,x,x,x,x
Castanheira de Pêra,14.3,0.89,57.6,531.4,60.5,67,52.3,90.5,118.2,x,x,x,x,x
Figueiró dos Vinhos,0,0.34,56.5,392.8,47.5,64,50.9,92.4,100,x,x,x,x,x
Leiria,10.5,1.17,46.4,174.6,77.7,36,48.8,93.4,101.5,x,x,x,x,x
Marinha Grande,15.3,1.38,46.9,184.7,75.5,37.4,47.5,94.2,123.7,x,x,x,x,x
Pedrógão Grande,0,3.05,56,441.6,54.7,62.2,52.5,93,132.6,x,x,x,x,x
Pombal,8.8,0.63,50.6,256.1,66.6,49.9,53,92,128.4,x,x,x,x,x
Porto de Mós,9.2,0.84,48.1,205.3,77,40.7,52.1,95.2,105.2,x,x,x,x,x
Viseu Dão Lafões,8.6,0.52,50,253.4,69.2,48.6,51.1,90.5,102,30.3,32.2,33.5,81.38,20.14
Aguiar da Beira,10.3,0.04,57.8,470.8,56,71.1,54.2,88,0,x,x,x,x,x
Carregal do Sal,15.4,0.4,52.6,292.9,64.3,57,51.4,88.9,80,x,x,x,x,x
Castro Daire,4.5,0.13,54.4,356.1,56.4,57.7,51.6,91.7,63.6,x,x,x,x,x
Mangualde,11.5,0.4,50.9,268.5,65.7,51.2,50.9,92.7,68.2,x,x,x,x,x
Nelas,2.1,0.33,51,277.5,65.6,54.2,51.4,89.4,152.9,x,x,x,x,x
Oliveira de Frades,13.3,0.94,47.6,203.5,76.4,40.5,51,93,160,x,x,x,x,x
Penalva do Castelo,2.9,0.12,54.6,367.2,61.6,64.8,54.9,93.1,125,x,x,x,x,x
Santa Comba Dão,7.8,0.44,52.4,304.3,64,58.1,52.4,91,140,x,x,x,x,x
São Pedro do Sul,23.3,0.54,53.9,341.7,65.3,59.2,51.3,90.6,156.3,x,x,x,x,x
Sátão,4.3,0.15,52.1,292.8,68.9,54.1,52.8,91.1,88.9,x,x,x,x,x
Tondela,4.1,0.39,53.1,322.8,62.3,56.4,53,90.6,112.8,x,x,x,x,x
Vila Nova de Paiva,25,0.04,53.7,346.6,63.8,57.4,51.9,93,0,x,x,x,x,x
Viseu,6.3,0.75,46.9,187,77.4,38.7,48.8,89.6,92.1,x,x,x,x,x
Vouzela,13.3,0.43,52.1,311.2,66.1,54,54.5,90.3,100,x,x,x,x,x
Beira Baixa,9.6,1.02,53.8,326.4,57.6,59.9,54.9,91.9,106.8,29.6,34.1,35,80.09,20.01
Castelo Branco,6.6,1.08,50.5,249.4,62.3,48.4,51.4,90.8,102.5,x,x,x,x,x
Idanha-a-Nova,28,1.48,59.9,463.3,51.5,86.2,60.8,93,121.4,x,x,x,x,x
Oleiros,8.3,0.51,62.9,745.5,42.9,96.5,57.9,90.9,212.5,x,x,x,x,x
Penamacor,0,1.03,61.5,673.3,45.6,89.5,61.4,99.2,113,x,x,x,x,x
Proença-a-Nova,16.7,0.39,58.3,464,50.7,72.1,54.9,95.1,133.3,x,x,x,x,x
Vila Velha de Ródão,0,0.99,60.2,478.2,55.1,93.4,61.9,90.9,61.9,x,x,x,x,x
Médio Tejo,13,0.72,51,256.7,64.8,49.2,53.2,91,116.2,30.3,33.4,35.1,80.84,19.92
Abrantes,10.7,0.4,53.4,313.9,55,54.3,52.5,92.7,119.4,x,x,x,x,x
Alcanena,5.3,0.57,50.8,244,60.4,49.2,50.8,92.8,153.6,x,x,x,x,x
Constância,25,0.31,48.4,203.4,62.6,39.9,51.8,89.9,200,x,x,x,x,x
Entroncamento,0,1.58,45.5,145.3,75.2,32.6,52.9,90,97.6,x,x,x,x,x
Ferreira do Zêzere,11.5,0.78,52.7,303.2,63.6,56.2,54.2,90.3,134.6,x,x,x,x,x
Mação,15.4,0.8,60.1,535.1,53.6,81.3,62.2,91.7,121.7,x,x,x,x,x
Ourém,14,1.07,48.9,223.9,74.8,44.3,53.4,89.8,121.5,x,x,x,x,x
Sardoal,0,0.56,52.8,354.1,60.2,52.7,52.9,92.8,150,x,x,x,x,x
Sertã,18.2,0.69,53.4,303.5,60.4,55.3,54.1,93.7,112.5,x,x,x,x,x
Tomar,10.3,0.67,52.9,298,62.1,53.4,51.6,89.6,117.9,x,x,x,x,x
Torres Novas,7.9,0.31,50.2,240.5,64,48.2,52.2,91.8,125.5,x,x,x,x,x
Vila de Rei,37.5,0.38,56.1,405.9,75.5,74.6,61.7,88.2,85.7,x,x,x,x,x
Vila Nova da Barquinha,24,0.23,48.5,208.5,69.5,44.5,54.3,90.2,54.5,x,x,x,x,x
Beiras e Serra da Estrela,8.7,0.6,54.3,343.7,56.6,59.1,53,91.2,117.4,30.4,33.2,35,80.72,19.97
Almeida,0,0.14,62,697,45.9,89.4,58.9,88.6,14.3,x,x,x,x,x
Belmonte,0,0.55,53.5,314.1,56.8,56.9,55.4,93.5,161.5,x,x,x,x,x
Celorico da Beira,7.7,0.38,55.9,384,55.7,65.7,55.1,91,56.3,x,x,x,x,x
Covilhã,12.3,0.91,52,295.2,62,52.1,49.5,91.4,120.9,x,x,x,x,x
Figueira de Castelo Rodrigo,9.1,0.12,57.2,382.7,51.3,72.9,56.8,90.4,200,x,x,x,x,x
Fornos de Algodres,25,0.14,56.4,391,49.8,65.6,58.7,85.7,200,x,x,x,x,x
Fundão,11.6,1.22,53.6,324.4,57.2,57.9,53,93.8,147.3,x,x,x,x,x
Gouveia,0,0.46,58.1,435.6,49.6,74.4,54.4,89.3,107.4,x,x,x,x,x
Guarda,4.3,0.51,49.6,235,64.7,41.3,49.9,91.3,103,x,x,x,x,x
